,fault,proApoptosis,antiApoptosis,proArrest,antiArrest,proAngiogenesis,antiAngiogenesis,ConvexSum,ApopRatio,ArrestRatio,AngioRatio,INDEX
41,"(['DRD2', 'PLCg'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
42,"(['DRD2', 'IP3R'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
43,"(['DRD2', 'DAG'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
44,"(['DRD2', 'PKC'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
45,"(['DRD2', 'JAK'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
46,"(['DRD2', 'Shc'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
47,"(['DRD2', 'Grb2'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
48,"(['DRD2', 'Sos'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
49,"(['DRD2', 'Ras'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
50,"(['DRD2', 'Raf'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
51,"(['DRD2', 'MEK'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
52,"(['DRD2', 'ERK'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
53,"(['DRD2', 'ESR1'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
54,"(['DRD2', 'SRC'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
55,"(['DRD2', 'PTEN'], [True, True])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777,
56,"(['DRD2', 'PI3K'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
57,"(['DRD2', 'PIP3'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
58,"(['DRD2', 'PDK1'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
59,"(['DRD2', 'AKT'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
60,"(['DRD2', 'TNFR'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
61,"(['DRD2', 'TRAF2'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
62,"(['DRD2', 'RIP1'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
63,"(['DRD2', 'IKK'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
64,"(['DRD2', 'NFKB'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
65,"(['DRD2', 'LKB1'], [True, True])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777,
66,"(['DRD2', 'AMPK'], [True, True])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777,
67,"(['DRD2', 'RSK2'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
68,"(['DRD2', 'TSC'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
69,"(['DRD2', 'Rheb'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
70,"(['DRD2', 'mTORc1'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
71,"(['DRD2', 'S6K'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
72,"(['DRD2', 'mTORc2'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
73,"(['DRD2', 'STAT3'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
74,"(['DRD2', 'VEGF'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
75,"(['DRD2', 'eNOS'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
