,fault,proApoptosis,antiApoptosis,proArrest,antiArrest,proAngiogenesis,antiAngiogenesis,ConvexSum,ApopRatio,ArrestRatio,AngioRatio
JAK,"(['JAK'], {'JAK': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
Shc,"(['Shc'], {'Shc': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
Grb2,"(['Grb2'], {'Grb2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
Sos,"(['Sos'], {'Sos': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
Ras,"(['Ras'], {'Ras': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
Raf,"(['Raf'], {'Raf': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
MEK,"(['MEK'], {'MEK': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
ERK,"(['ERK'], {'ERK': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
ESR1,"(['ESR1'], {'ESR1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
SRC,"(['SRC'], {'SRC': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
PTEN,"(['PTEN'], {'PTEN': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
PI3K,"(['PI3K'], {'PI3K': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
PIP3,"(['PIP3'], {'PIP3': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
PDK1,"(['PDK1'], {'PDK1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
AKT,"(['AKT'], {'AKT': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
TNFR,"(['TNFR'], {'TNFR': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
TRAF2,"(['TRAF2'], {'TRAF2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
RIP1,"(['RIP1'], {'RIP1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
IKK,"(['IKK'], {'IKK': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
NFKB,"(['NFKB'], {'NFKB': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
LKB1,"(['LKB1'], {'LKB1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
AMPK,"(['AMPK'], {'AMPK': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
RSK2,"(['RSK2'], {'RSK2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
TSC,"(['TSC'], {'TSC': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
Rheb,"(['Rheb'], {'Rheb': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
mTORc1,"(['mTORc1'], {'mTORc1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
S6K,"(['S6K'], {'S6K': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
mTORc2,"(['mTORc2'], {'mTORc2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
STAT3,"(['STAT3'], {'STAT3': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
VEGF,"(['VEGF'], {'VEGF': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
eNOS,"(['eNOS'], {'eNOS': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
OG,"(['OG'], {'OG': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
MGMT,"(['MGMT'], {'MGMT': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
IDH1,"(['IDH1'], {'IDH1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
HIF1a,"(['HIF1a'], {'HIF1a': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
iNOS,"(['iNOS'], {'iNOS': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
COX2,"(['COX2'], {'COX2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
PERK,"(['PERK'], {'PERK': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
ELF2a,"(['ELF2a'], {'ELF2a': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
IRE1a,"(['IRE1a'], {'IRE1a': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
TGFbR,"(['TGFbR'], {'TGFbR': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
SMAD23,"(['SMAD23'], {'SMAD23': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
MEKK1,"(['MEKK1'], {'MEKK1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
JNK,"(['JNK'], {'JNK': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
sGC,"(['sGC'], {'sGC': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
PKG,"(['PKG'], {'PKG': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
PPARa,"(['PPARa'], {'PPARa': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
PPARg,"(['PPARg'], {'PPARg': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
PIAS,"(['PIAS'], {'PIAS': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
cMyc,"(['cMyc'], {'cMyc': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
CREB,"(['CREB'], {'CREB': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
CHOP,"(['CHOP'], {'CHOP': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
FOXO,"(['FOXO'], {'FOXO': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
p15,"(['p15'], {'p15': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
GliR,"(['GliR'], {'GliR': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
GliA,"(['GliA'], {'GliA': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
fos,"(['fos'], {'fos': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
jun,"(['jun'], {'jun': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
ATM,"(['ATM'], {'ATM': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
CHK1,"(['CHK1'], {'CHK1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
p16INK4a,"(['p16INK4a'], {'p16INK4a': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
p14ARF,"(['p14ARF'], {'p14ARF': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
MDM2,"(['MDM2'], {'MDM2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
p53,"(['p53'], {'p53': True})",0.75,0.5,1.0,0.25,0.5714285714285714,1.0,2.25,1.5,4.0,1.75
PCNA,"(['PCNA'], {'PCNA': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
CDC25,"(['CDC25'], {'CDC25': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
p21,"(['p21'], {'p21': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
MMP1,"(['MMP1'], {'MMP1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
MMP2,"(['MMP2'], {'MMP2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
PAI,"(['PAI'], {'PAI': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
PARP1,"(['PARP1'], {'PARP1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
Calpain,"(['Calpain'], {'Calpain': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
TERT,"(['TERT'], {'TERT': True})",0.75,0.6666666666666666,1.0,0.25,0.5714285714285714,0.5,1.9874999999999998,1.125,4.0,0.875
Rac,"(['Rac'], {'Rac': True})",0.75,0.5,1.0,0.25,0.6428571428571429,0.5,2.25,1.5,4.0,0.7777777777777777
cPLA2,"(['cPLA2'], {'cPLA2': True})",0.75,0.5,1.0,0.25,0.6428571428571429,0.5,2.25,1.5,4.0,0.7777777777777777
CCND1,"(['CCND1'], {'CCND1': True})",0.75,0.5,1.0,0.5,0.5714285714285714,0.5,1.65,1.5,2.0,0.875
CDK4,"(['CDK4'], {'CDK4': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
CASP12,"(['CASP12'], {'CASP12': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
cFLIP,"(['cFLIP'], {'cFLIP': True})",0.75,0.6666666666666666,1.0,0.25,0.5714285714285714,0.5,1.9874999999999998,1.125,4.0,0.875
FasL,"(['FasL'], {'FasL': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
FADD,"(['FADD'], {'FADD': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
CASP8,"(['CASP8'], {'CASP8': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
Bid,"(['Bid'], {'Bid': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
Mcl1,"(['Mcl1'], {'Mcl1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
puma,"(['puma'], {'puma': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
noxa,"(['noxa'], {'noxa': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
XIAP,"(['XIAP'], {'XIAP': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
Bad,"(['Bad'], {'Bad': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
BCL2,"(['BCL2'], {'BCL2': True})",0.75,0.6666666666666666,1.0,0.25,0.5714285714285714,0.5,1.9874999999999998,1.125,4.0,0.875
BCLxl,"(['BCLxl'], {'BCLxl': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
Bim,"(['Bim'], {'Bim': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
Bak,"(['Bak'], {'Bak': True})",0.875,0.5,1.0,0.25,0.5714285714285714,0.5,2.425,1.75,4.0,0.875
Bax,"(['Bax'], {'Bax': True})",0.875,0.5,1.0,0.25,0.5714285714285714,0.5,2.425,1.75,4.0,0.875
NF1,"(['NF1'], {'NF1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
