,42-MG-BA,A172,AM-38,CCF-STTG1,LN-229,T98G,U-87-MG,YKG-1
"(1, 28)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(1, 29)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(1, 30)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(1, 31)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(1, 32)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(1, 33)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(1, 34)",1.2,1.466666667,1.466666667,1.2,1.466666667,1.466666667,1.2,1.2
"(1, 35)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(1, 36)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 2)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 3)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 4)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(2, 5)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(2, 6)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 7)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 8)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 9)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 10)",0.844444444,0.844444444,13.8,0.844444444,13.8,0.844444444,0.844444444,0.844444444
"(2, 11)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 12)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 13)",0.577777778,0.577777778,0.577777778,0.577777778,0.577777778,0.577777778,0.577777778,0.577777778
"(2, 14)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 15)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 16)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 17)",0.844444444,0.844444444,13.8,0.844444444,13.8,0.844444444,0.844444444,0.844444444
"(2, 18)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 19)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 20)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 21)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 22)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 23)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 24)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 25)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 26)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 27)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 28)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 29)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 30)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 31)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 32)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 33)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 34)",1.2,1.466666667,1.466666667,1.2,1.466666667,1.466666667,1.2,1.2
"(2, 35)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(2, 36)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 3)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 4)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(3, 5)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(3, 6)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 7)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 8)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 9)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 10)",0.844444444,0.844444444,13.8,0.844444444,13.8,0.844444444,0.844444444,0.844444444
"(3, 11)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 12)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 13)",0.577777778,0.577777778,0.577777778,0.577777778,0.577777778,0.577777778,0.577777778,0.577777778
"(3, 14)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 15)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 16)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 17)",0.844444444,0.844444444,13.8,0.844444444,13.8,0.844444444,0.844444444,0.844444444
"(3, 18)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 19)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 20)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 21)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 22)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 23)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 24)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 25)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 26)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 27)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 28)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 29)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 30)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 31)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(3, 32)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
